,Rank,Released,Movie,Total Box Office,url
88,161,2016,Suicide Squad,"$342,388,609",https://www.the-numbers.com/movie/Suicide-Squad#tab=summary
89,164,2010,Harry Potter and the Deathly Hallows: Part I,"$341,677,546",https://www.the-numbers.com/movie/Harry-Potter-and-the-Deathly-Hallows-Part-I#tab=summary
90,165,2006,Night at the Museum,"$339,901,743",https://www.the-numbers.com/movie/Night-at-the-Museum#tab=summary
91,166,2006,Cars,"$339,480,296",https://www.the-numbers.com/movie/Cars#tab=summary
92,167,2017,Spider-Man: Homecoming,"$339,417,210",https://www.the-numbers.com/movie/Spider-Man-Homecoming#tab=summary
93,170,2010,Inception,"$337,816,073",https://www.the-numbers.com/movie/Inception#tab=summary
94,171,2009,The Hangover,"$336,854,403",https://www.the-numbers.com/movie/Hangover-The#tab=summary
95,172,2007,I am Legend,"$336,716,286",https://www.the-numbers.com/movie/I-am-Legend#tab=summary
96,174,2019,Joker,"$335,451,311",https://www.the-numbers.com/movie/Joker-(2019)#tab=summary
97,175,2018,Aquaman,"$335,061,810",https://www.the-numbers.com/movie/Aquaman-(2018)#tab=summary
98,176,2012,"The Twilight Saga: Breaking Dawn, Part 2","$334,481,193",https://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary
99,177,2002,Austin Powers in Goldmember,"$334,165,750",https://www.the-numbers.com/movie/Austin-Powers-in-Goldmember#tab=summary
100,178,2005,War of the Worlds,"$332,963,185",https://www.the-numbers.com/movie/War-of-the-Worlds#tab=summary
101,179,2017,It,"$332,592,945",https://www.the-numbers.com/movie/It-(2017)#tab=summary
